lambda_sparse,lambda_magnitude,num_neurons,margin,alter_success_rate,preserve_violation_rate,alter_states_changed,preserve_states_violated,objective_initial,objective_final,objective_improvement,l0_norm,l1_norm,l2_norm,linf_norm,iterations,function_evals,execution_time,success,l1_penalty,l2_penalty,total_regularization,efficiency,sparsity_ratio
0.0,0.0,12,0.1,0.6666666666666666,0.0,2/3,0/5,0.3447079658508301,0.3305516839027405,0.0141562819480896,1.0,177.98373999999998,177.98373999999998,177.98373999999998,0,1000,0.2449359893798828,False,0.0,0.0,0.0,0.057795842840122416,0.0013020833333333333
0.0,0.0,12,0.2,0.6666666666666666,0.0,2/3,0/5,0.6447078585624695,0.6305515766143799,0.0141562819480896,1.0,177.98373999999998,177.98373999999998,177.98373999999998,0,1000,0.2212831974029541,False,0.0,0.0,0.0,0.06397359634274977,0.0013020833333333333
0.0,0.0,16,0.05,0.6666666666666666,0.0,2/3,0/5,0.1947079300880432,0.1805516481399536,0.0141562819480896,1.0,177.98373999999998,177.98373999999998,177.98373999999998,0,1000,0.2516329288482666,False,0.0,0.0,0.0,0.05625766871165644,0.0009765625
0.0,0.01,16,0.05,0.6666666666666666,0.0,2/3,0/5,0.1947079300880432,0.18366303793566596,0.01104489215237725,3.0,0.6228170488334682,0.4778531758080708,0.44323617431526563,0,1000,0.23408293724060059,False,0.0,0.0022834365762985902,0.0022834365762985902,0.047183670380147494,0.0029296875
0.0,0.01,12,0.1,0.6666666666666666,0.0,2/3,0/5,0.3447079658508301,0.33366308789870813,0.011044877952121945,3.0,0.6228169700781517,0.4778531024690215,0.4432360952476752,0,1000,0.347700834274292,False,0.0,0.002283435875392692,0.002283435875392692,0.03176546290196397,0.00390625
0.0,0.01,12,0.2,0.6666666666666666,0.0,2/3,0/5,0.6447078585624695,0.6336629806103505,0.011044877952118948,3.0,0.6228169702225278,0.4778531024693401,0.44323609524768676,0,1000,0.22091126441955566,False,0.0,0.0022834358753957367,0.0022834358753957367,0.04999689799041875,0.00390625
0.0,0.001,16,0.05,0.6666666666666666,0.0,2/3,0/5,0.1947079300880432,0.18409668362726767,0.010611246460775547,4.0,2.0214985903782616,1.8164632824930425,1.8035746234591412,0,1000,0.31470489501953125,False,0.0,0.0032995388566453986,0.0032995388566453986,0.033718085192532485,0.00390625
0.0,0.001,12,0.2,0.6666666666666666,0.0,2/3,0/5,0.6447078585624695,0.6340966269970895,0.01061123156538002,4.0,2.021498655085196,1.8164632809059944,1.8035746234591261,0,1000,0.22022032737731934,False,0.0,0.0032995388508797693,0.0032995388508797693,0.048184614434792994,0.005208333333333333
0.0,0.001,12,0.1,0.6666666666666666,0.0,2/3,0/5,0.3447079658508301,0.33409673428545017,0.010611231565379908,4.0,2.0214986532421637,1.8164632809060237,1.8035746234591563,0,1000,0.21563076972961426,False,0.0,0.003299538850879876,0.003299538850879876,0.049210191934507506,0.005208333333333333
0.001,0.001,16,0.05,0.6666666666666666,0.0,2/3,0/5,0.1947079300880432,0.18410752034848685,0.010600409739556366,4.0,1.5494476072696783,1.327022070366457,1.3042498601484884,0,1000,0.246412992477417,False,0.0015494476072696784,0.001760987575239678,0.003310435182509356,0.04301887507221382,0.00390625
0.001,0.001,12,0.2,0.6666666666666666,0.0,2/3,0/5,0.6447078585624695,0.6341074637046827,0.010600394857786744,4.0,1.5494475942717985,1.3270220679574396,1.3042498601484773,0,1000,0.21164274215698242,False,0.0015494475942717985,0.0017609875688460396,0.0033104351631178383,0.05008626683698929,0.005208333333333333
0.001,0.001,12,0.1,0.6666666666666666,0.0,2/3,0/5,0.3447079658508301,0.3341075709930434,0.010600394857786688,4.0,1.5494475942718022,1.3270220679574514,1.3042498601484922,0,1000,0.21898889541625977,False,0.0015494475942718024,0.0017609875688460708,0.003310435163117873,0.04840608395981533,0.005208333333333333
0.001,0.01,16,0.05,0.6666666666666666,0.0,2/3,0/5,0.1947079300880432,0.18418968276899095,0.010518247319052265,3.0,0.5853547368485291,0.47167008308509734,0.45293570306292663,0,1000,0.23719501495361328,False,0.0005853547368485291,0.002224726672775026,0.002810081409623555,0.044344301759922114,0.0029296875
0.001,0.01,12,0.1,0.6666666666666666,0.0,2/3,0/5,0.3447079658508301,0.33418973178843886,0.010518234062391218,3.0,0.5853545744064341,0.4716699259775841,0.45293553945502596,0,1000,0.21362972259521484,False,0.0005853545744064342,0.0022247251907169968,0.002810079765123431,0.04923581763161836,0.00390625
